Year,Brazil Life Expectancy
1970,56.9
1971,57.5
1972,58.0
1973,58.6
1974,59.2
1975,59.8
1976,60.4
1977,61.1
1978,61.7
1979,62.3
1980,62.7
1981,63.3
1982,63.9
1983,64.1
1984,64.2
1985,64.6
1986,65.1
1987,65.7
1988,66.1
1989,66.7
1990,67.3
1991,67.9
1992,68.3
1993,68.4
1994,68.8
1995,69.2
1996,69.5
1997,70.1
1998,70.4
1999,70.8
2000,71.2
2001,71.5
2002,71.8
2003,72.0
2004,72.3
2005,72.8
2006,73.1
2007,73.3
2008,73.5
2009,73.7
2010,73.8
2011,74.0
2012,74.3
2013,74.5
2014,74.8
2015,75.0
2016,75.0
2017,75.4
2018,75.7
2019,75.8
